CUI	UMLS_PREF	INCORRECT
C1269021	entire posterior tibial artery	posterior tibial artery
C0446769	entire posterior interosseous nerve (body structure)	posterior interosseous nerve
C1305082	entire posterior fontanel of skull	posterior fontanelle
C1153490	porin activity	porin
C1280552	entire placental site	placental site
C0481189	peripheral vasodilators causing adverse effects in therapeutic use	peripheral vasodilators
C0496993	poisoning by peripheral vasodilators	peripheral vasodilators
C1281625	entire perineal nerve	perineal nerve
C1280739	entire penis	penies
C1281330	entire pelvic vein	pelvic veins
C1279337	entire inferior hypogastric plexus	pelvic plexus
C1150260	kininogenase activity	kininogenase
C1150265	pancreatic elastase activity	pancreatic elastase
C1280229	entire palatine bone	palatine bone
C0001688	adverse effects	side effect treatment
C1280836	entire body organ	organ body
C1289299	entire orbital septum	orbital septum
C1269601	entire optic tract	optic tract
C1149511	opioid peptide activity	opioid peptide
C1284113	entire adnexa oculi	ocular adnexa
C0031847	physiopathological	dysfunctions
C0277785	functional disorder	dysfunctions
C1304983	entire nasalis	nasalis
C1305772	entire bony pelvis	bone pelvic
C1280770	entire auerbach's plexus	myenteric plexus
C0376691	programs [publication type]	programing
C1281590	entire head	heads
C1280955	entire middle meningeal artery	middle meningeal artery
C1152247	methyltransferase activity	methyltransferase
C1304906	entire head of metacarpal bone	metacarpal head
C1280620	entire mesoappendix	mesoappendix
C0700158	direction brand of orthodontic bonding material	direction
C0885639	origanum majorana, marjoram, homeopathic preparation	marjoram
C0721534	Maintain brand of benzocaine	maintain
C1280995	entire lymphatic vessel	lymphatic vessel
C1150784	lyase activity	lyase
C1279158	entire pubic region	pubic region
C0448476	entire skeletal muscle of lower leg (body structure)	lower leg muscle
C1279176	entire long plantar ligament	long plantar ligament
C0243163	supply aspects	supplied
C0504592	entire body wall	body wall
C1305777	entire accessory nerve	cranial nerve xi
C1140621	leg	legged
C1288640	entire left shoulder region	left shoulder
C0225917	entire left bundle branch	left branch bundle
C1269583	entire lateral semicircular canal	lateral semicircular canal
C1280650	entire lacrimal punctum	lacrimal punctum
C1305907	entire deciduous tooth	primary tooth
C0220868	legal aspects	jurisprudence
C1267117	entire zygapophyseal joint	facets joint
C1150298	isomerase activity	isomerase
C1280392	entire soft palate	palate soft
C1321530	entire internal anal sphincter muscle	internal anal sphincter
C0205470	immunologic	immunologi
C0034571	roentgenographic	images x rays
C1279169	entire iliofemoral ligament	iliofemoral ligament
C0013217	pharmacotherapeutic	therapy drug
C0014121	bacterial endocarditis	beings
C0243097	financing characteristics	financed
C0549076	assessment: safety	safety assessment
C0205054	hepatic	hepatico
C0011053	deafness	hears
C1283905	entire hair bulb	hair bulb
C1318600	burns care (qualifier value)	burns care
C1152069	glycosyltransferase activity	glycosyltransferase
C1149771	glutaminase activity	glutaminase
C1281063	entire genu of corpus callosum	genu of corpus callosum
C1280836	entire body organ	body organ
C1269544	entire epiploic foramen	foramen of winslow
C1305074	entire flexor hallucis brevis muscle	flexor hallucis brevis
C1282775	entire flat bone	flat bone
C1283788	entire spinal nerve	nerves spinal
C0223976	entire first metatarsal	first metatarsal
C1281046	entire falx cerebri	falx cerebri
C0699910	study of epidemiology	epidemiology study
C0243072	derivatives	derivative
C1171411	Support brand of multivitamin	supported
C1279001	entire skin of back	skin back
C0021311	infection	caused diseases microorganisms
C1282858	entire perivascular space	perivascular spacing
C1280879	entire parasympathetic nerve	nerves parasympathetic
C0012160	nutritional management	dietary management
C1321530	entire internal anal sphincter muscle	anal internal sphincter
C1281237	entire phrenic nerve	nerve phrenic
C1148554	determination aspects	determinations
C1305414	entire fossa of cranial cavity	cranial fossa
C0447962	entire cranial bone	cranial bone
C0494197	other benign neoplasm of corpus uteri	corpus uteri
C1305079	entire coronal suture of skull	coronal sutures
C1305079	entire coronal suture of skull	coronal suture
C1281410	entire coccygeal nerve	coccygeal nerve
C0497012	toxic effect of chlorofluorocarbons	chlorofluorocarbons
C1150046	chitinase activity	chitinase
C0243176	chemical composition	chemical composition
C0153645	malignant neoplasm of cerebral meninges	cerebral meninges
C0154033	benign neoplasm of cerebral meninges	cerebral meninges
C0496933	neoplasm of uncertain or unknown behavior of cerebral meninges	cerebral meninges
C1151318	catechol oxidase activity	catechol oxidase
C1150142	caspase-8 activity	caspase-8
C1150137	caspase-1 activity	caspase-1
C1306477	entire capitate bone	capitated
C0007807	in cerebrospinal fluid	in cerebrospinal fluid
C1280904	entire right ureter	right ureter
C1280226	entire calcaneofibular ligament	calcaneofibular ligament
C0223161	entire c6 vertebra	c6 vertebra
C1278962	entire brachiocephalic vein	brachiocephalic vein
C0243123	biochemical pathways	biochemical pathway
C1282792	entire spheroidal joint	ball-and-socket joint
C1280191	entire azygous vein	azygos vein
C1269084	entire lateral collateral ligament of knee joint	collateral knee lateral ligament
C1305176	entire great anterior radicular artery of adamkiewicz	artery of adamkiewicz
C0700221	intravascular line	linings
C1289468	entire area postrema	area postrema
C1278927	entire anus	anu
C1281014	entire angular gyrus	angular gyrus
C1269078	entire upper limb	limb upper
C1269056	entire glenohumeral joint	joint shoulder
C0261863	adverse effects in the therapeutic use of analeptics	analeptics
C1152723	alpha adrenoceptor activity	alpha-adrenergic receptor
C0002111	allergy (specialty)	allergi
C0718383	Allergy brand of chlorpheniramine	allergi
C0886379	allergy treatment	allergi
C1281780	entire allantois	allantois
C1151645	aldehyde dehydrogenase activity	aldehyde dehydrogenase
C0700507	encounter due to alcohol rehabilitation	alcohol rehabilitation
C1267264	entire afferent arteriole	afferent arterioles
C1267264	entire afferent arteriole	afferent arteriole
C1149731	deaminase activity	deaminase
C1305003	entire abductor pollicis longus muscle	abductor pollicis longus
C1267117	entire zygapophyseal joint	zygapophysial joint
C1269032	entire uterus	wombs
C0001962	ethanol	alcohol drink
C0348026	diagnostic	diagnosi
C1278872	entire sympathetic nerve	nerve sympathetic
C1278917	entire salivary gland	glands salivary
C0222183	entire skin of female genitalia	vulva skin
C0401156	vomiting nos (disorder)	disorders vomiting
C1305914	entire yolk stalk	vitelline duct
C0481216	adverse effects caused by therapeutic use of viral vaccines	viral vaccines
C1289707	entire vestibulospinal tract	vestibulospinal tract
C1280888	entire vestibular gland	vestibular gland
C1305061	entire vastus intermedius muscle	vastus intermedius
C1289316	entire mandibular canal	canal mandibular
C0042295	valuing	valus
C1281287	entire uveal tract	uveal tract
C1281160	entire utricle	utricle
C1281316	entire uterine vein	uterine vein
C1280198	entire trigeminal ganglion	trigeminal ganglion
C1150651	ligase activity	ligase
C1289646	entire pallium	pallium
C1281286	entire umbilical cord	cord umbilical
C0447273	entire maxillary right central incisor tooth (body structure)	central incisors
C1280986	entire tracheal cartilage	tracheal cartilage
C0311392	physical findings	signing
C1281560	entire ligament of hand	ligament hand
C0153384	malignant tumor of tonsillar fossa	tonsillar fossa
C1269052	entire tibial plateau	tibial plafond
C1305633	entire posterior tibial muscle tendon	tibialis posterior tendon
C1152199	thymidine phosphorylase activity	thymidine phosphorylase
C1267072	entire vertebral column	column vertebral
C1283924	entire nose, accessory sinus and nasopharynx, cs	respiratory tract upper
C0039795	therapeutic use	therapeutic use
C1278881	entire pineal gland	gland pineal
C1269572	entire terminal bronchiole	bronchioles terminal
C1305378	entire achilles tendon	tendo achilles
C0447666	entire temporal fascia	temporalis fascia
C1289393	entire tectorial membrane	tectorial membrane
C1269077	entire tarsometatarsal joint	tarsometatarsal joint
C1267085	entire tarsal bone	tarsal bone
C1280179	entire systemic vein (body structure)	systemic vein
C1289648	entire fissure of sylvius	sylvius fissure
C1282004	entire vein of head	head vein
C1280013	entire right ankle	right ankle
C1279997	entire metatarsal joint	joint metatarsal
C0374711	repair - action	repair surgical
C0374711	repair - action	surgical repair
C0524727	discipline of heart surgery	surgery cardiac
C1268989	entire adrenal gland	glands suprarenal
C0243163	supply aspects	supplying
C1281048	entire superior cervical ganglion	superior cervical ganglion
C0557651	room of building - study	studys
C0947630	scientific study	studys
C1281593	entire back (surface region)	backed
C0475211	l (qualifier value)	litres
C0448359	entire spinalis muscle (body structure)	spinalis
C0220824	equipment used	used equipment
C1153463	sodium channel activity	sodium channel
C0005767	blood	blooding
C0005768	in blood	blooding
C1269029	entire small saphenous vein	short saphenous vein
C1281666	entire serous cavity	serous cavity
C1282378	entire base of lung	bases lung
C1305019	entire semispinalis muscle	semispinalis
C1282864	entire lumen of body system	lumens
C0260926	encounter due to screening for malnutrition	screening for malnutrition
C0033107	prevention & control	prevention control
C1305078	entire sagittal suture of skull	sagittal suture
C1269085	entire ligament of ankle joint	ligament ankle
C1267306	entire rolandic artery	rolandic artery
C0413079	rodenticide causing toxic effect	rodenticides
C1279605	entire right lower leg	right leg
C1280448	entire retroperitoneal lymph node	retroperitoneal lymph node
C1305751	entire reticular formation	formation reticular
C0374711	repair - action	repairing
C1278878	entire thyroid gland	gland thyroid
C1279104	entire iliac crest	crest iliac
C0439840	reflex motion descriptor	reflexs
C0447684	entire fascia of rectus abdominis muscle (body structure)	rectus fascia
C1281262	entire rectovaginal septum	rectovaginal septum
C0033213	problem (finding)	prob
C1276862	entire endocervical glandular cell	cells endocervical glandular
C1279085	entire neck of radius	radius neck
C0001688	adverse effects	treatment side effects
C1267110	entire synovial joint	joint synovial
C1279466	entire pulmonary ligament	pulmonary ligament
C1288438	entire pudendal canal	pudendal canal
C1279107	entire pubic tubercle	pubic tubercle
C1304982	entire procerus muscle	procerus
C0175673	bale out	emergencys
C1279180	entire prepatellar bursa	prepatellar bursa
C1135598	postnatal development	postnatal development
C1305633	entire posterior tibial muscle tendon	posterior tibialis tendon
C1269584	entire posterior semicircular canal	posterior semicircular canal
C1281004	entire popliteal lymph node	popliteal lymph node
C1282773	entire long bone	bone long
C1152655	photoreceptor activity	photoreceptor
C1150544	phosphorylase kinase activity	phosphorylase kinase
C1152161	phosphorylase activity	phosphorylase
C1279054	entire temporal bone	bone temporal
C1280375	entire permanent tooth	permanent tooth
C1288435	entire perineal body	perineal body
C0017399	genetic aspects	aspects genetic
C1280315	entire pelvic lymph node	pelvic lymph node
C0243101	prenatal development aspects	development prenatal
C0031847	physiopathological	pathophysiologies
C1289196	entire parotid papilla	parotid papilla
C0728821	parasympathomimetic disorders	parasympathomimetic
C1281212	entire parapharyngeal space	parapharyngeal space
C0243122	binding aspects	bind
C1321533	entire palpebral conjunctiva	palpebral conjunctiva
C1280958	entire ovarian vein	ovarian vein
C0027651	neoplasms	new growth
C1305744	entire fetal ossification center	centres ossification
C1149927	protein phosphatase activity	protein phosphatase
C1149491	neuropeptide hormone activity	neurohormone
C0448058	entire olecranon (body structure)	olecranon process
C0447788	entire joint of sternum (body structure)	sternum joint
C1269060	entire odontoid process of axis	odontoid peg
C1280287	entire obturator muscle	obturator muscle
C1305047	entire obturator internus	obturator internus
C1279548	entire right thigh	right thigh
C0205464	pharmacological	action mechanism
C1148667	neurotransmitter receptor activity	neurotransmitter receptor
C0021516	nerve supply	nerves supplying
C1278658	entire hair of neck	neck hair
C1280204	entire iridocorneal angle	angles anterior chamber
C1280896	entire anterior naris	nari
C1282852	entire deep vein	vein deep
C1150182	mmp-2 activity	mmp-2
C0475211	l (qualifier value)	liter
C1305582	entire middle fossa of cranial cavity	middle cranial fossa
C1280137	entire middle colic artery	middle colic artery
C1269048	entire temporomandibular joint	joint temporomandibular
C0677546	old episode	olding
C0025520	metabolic aspects	metabolisms
C1281172	entire mesosalpinx	mesosalpinx
C1304954	entire mentalis muscle	mentaly
C1289610	entire massa intermedia	massa intermedia
C1148594	mannose binding lectin activity	mannose binding lectin
C1279052	entire frontal bone	bone frontal
C1151839	lysyl oxidase activity	lysyl oxidase
C1304811	congenital	connatal
C0581255	entire lower lobe bronchus (body structure)	lower lobe bronchus
C1280047	entire left lower quadrant of abdomen	lower left quadrant abdomen
C1282608	entire muscle of lower back	lower back muscle
C1278976	entire long saphenous vein	long saphenous vein
C0745732	list	listed
C1153703	trna activity	trna
C1306481	entire lateral cuneiform	lateral cuneiform
C0221979	entire hair of scalp	scalp hair
C1305042	entire ischiocavernosus muscle	ischiocavernosus
C1279109	entire ischial tuberosity	ischial tuberosities
C0520511	distributing	distributed
C1150042	beta-fructofuranosidase activity	invertase
C1149177	interferon receptor activity	interferon receptor
C0559982	entire tendon of infraspinatus muscle (body structure)	infraspinatus tendon
C1269603	entire inferior mesenteric vein	inferior mesenteric vein
C0030657	pathogenicity aspects	infectivity
C0496526	adverse effects in the therapeutic use of immunosuppressive agents	immunosuppressive agents
C1280205	entire upper eyelid	upper eyelid
C1149629	histone deacetylase activity	histone deacetylase
C0205462	histologic	histologi
C0220846	helminthic	helminthic
C1149627	helicase activity	helicase
C0220909	aspects of disease screening	screenning
C1281560	entire ligament of hand	hand ligament
C0541720	Release brand abscission agent	releases
C1149036	gtpase activity	gtpase
C0228562	entire spinal cord grey matter	grey matter spinal cord
C1150259	granzyme b activity	granzyme b
C1278975	entire gluteal vein	gluteal vein
C1267357	entire gluteal artery	gluteal artery
C1152039	glutathione s-transferase activity	glutathione s-transferase
C0337438	glucose measurement	glucoses
C1283877	entire glomerular capsule	glomerular capsule
C1304949	entire corrugator supercilii muscle	corrugator supercilii
C1304977	entire genioglossus muscle	genioglossus
C1269574	entire geniculate ganglion	geniculate ganglion
C0017399	genetic aspects	genetic aspects
C1288875	entire tendon sheath of finger	fingers sheath tendon
C1150443	galactokinase activity	galactokinase
C1150053	beta-galactosidase activity	beta-galactosidase
C1304907	entire base of first metacarpal bone	base first metacarpal
C1279082	entire surgical neck of humerus	humerus neck of surgical
C0224001	entire fourth metatarsal bone	fourth metatarsal
C1279019	entire skin of ankle	ankle skin
C1321528	entire flexor hallucis longus muscle tendon	flexor hallucis longus tendon
C0016129	fingers	fingering
C1281584	entire finger	fingering
C0376243	financial	financials
C1279122	entire head of fibula	fibula head
C1267111	entire fibrous joint	fibrous joints
C0447009	entire leaflet of mitral valve (body structure)	mitral leaflet
C1150619	fgfr activity	fgfr
C1149603	fc receptor activity	fc receptor
C1283907	entire fauces	fauces
C1280406	entire skin of eyelid	eyelid skin
C1268995	entire extraocular muscle	extraocular muscle
C1278963	entire external jugular vein	external jugular vein
C1304999	entire extensor digitorum muscle of hand	extensor digitorum
C1305103	entire extensor carpi ulnaris muscle tendon	extensor carpi ulnaris tendon
C1268997	entire upper gastrointestinal tract	gastrointestinal tract upper
C0699910	study of epidemiology	epidemiology studies
C1149459	ephrin activity	ephrin
C1289526	entire entorhinal cortex	entorhinal cortex
C1269026	entire pulmonary artery	artery pulmonary
C1268972	entire middle ear	ear middle
C0005572	bioformation	biosynthesis
C0175673	bale out	emergencis
C0013443	ear	earrings
C0521421	entire ear	earrings
C0448899	entire skin of knee	knees skin
C0576464	entire distal phalanx (body structure)	distal phalanx
C0549206	patient currently pregnant	pregnants
C0481437	need for immunization against diphtheria	diphtheria vaccination
C1275964	entire scalp vein	scalp veins
C1289056	entire left lateral ventricle	lateral left ventricle
C1151722	dihydropyrimidine dehydrogenase activity	dihydropyrimidine dehydrogenase
C0161615	poisoning by digestant	digestants
C0261889	adverse reaction to digestant	digestants
C1278886	entire lacrimal gland	gland lacrimal
C1280374	entire dental arch	dental arch
C1269646	entire sympathetic nervous system	nervous sympathetic system
C0243067	defects	defected
C1280971	entire deep inguinal ring	deep inguinal ring
C1280704	entire choroid plexus	plexus choroid
C1268059	entire cystic lymph node	cystic lymph nodes
C1281532	entire cuticle of nail	cuticle nails
C1269902	entire costal cartilage	cartilages costal
C1305006	entire extensor pollicis brevis muscle	brevis extensor pollicis
C0243148	control	controling
C0308718	CONTROL veterinary product	controling
C0728976	CONTROL brand of phenylpropanolamine	controling
C0870300	assessment: cognition	assessments cognitive
C0870300	assessment: cognition	cognitive assessment
C1269897	entire cranial nerve	cns cranial nerves
C1150865	citrate lyase activity	citrate lyase
C1281299	entire ciliary muscle	ciliary muscles
C1280087	entire waist (surface region)	waisting
C1280108	entire choroidal artery	choroidal artery
C1269008	entire coronary artery	artery coronary
C0243178	chemical properties	chemical property
C0007994	chemically induced	chemically induced
C0038454	cerebrovascular accident	stroking
C1284115	entire cerebral white matter	cerebral white matter
C1280181	entire cerebral vein	cerebral vein
C0458332	entire cerebral lobe (body structure)	cerebral lobes
C1281071	entire central sulcus	central sulcus
C0935919	cellular structure aspects	cellular structure
C0935919	cellular structure aspects	cells structure
C1150149	cathepsin l activity	cathepsin l
C0041623	ultrastructure	ultrastructure
C0524727	discipline of heart surgery	cardiac surgeries
C1282782	entire capsular ligament	capsular ligament
C1161331	saccharum officinale, sucrose, cane sugar, homeopathic preparation	cane sugar
C1269881	entire basilar artery	artery basilar
C1305032	entire pyramidalis muscle	pyramidalis
C0719044	Burn brand of nitrofurazone	burnings
C1305041	entire bulbospongiosus muscle	bulbospongiosus
C1279000	entire skin of breast	breast skin
C1305772	entire bony pelvis	bony pelvis
C1279019	entire skin of ankle	ankles skin
C0723460	stress bismuth subsalicylate	stressed
C1278916	entire parotid gland	gland parotid
C1281230	entire auriculotemporal nerve	auriculotemporal nerve
C1285505	entire of artery of head	arteries head
C1150711	argininosuccinate synthase activity	argininosuccinate synthase
C1281272	entire aqueous humor	aqueous humour
C0497005	poisoning by appetite depressants	appetite depressants
C1281123	entire antihelix	antihelix
C0236300	anti-dna antibodies measurement	anti-dna antibody
C1269065	entire anterior superior iliac spine	anterior superior iliac spine
C0228863	entire anterior interosseous nerve	anterior interosseous nerve
C1289546	entire anterior commissure	anterior commissure
C1280204	entire iridocorneal angle	anterior chamber angle
C0015392	eye	anatomy eyes
C1280338	entire anal sinus	anal sinus
C0228319	anteromedial nucleus	amed
C0002111	allergy (specialty)	allergis
C0718383	Allergy brand of chlorpheniramine	allergis
C0886379	allergy treatment	allergis
C1305378	entire achilles tendon	achille tendon
C1279606	entire left lower leg	leg left
C1281585	entire hip region	hip region
C1278879	entire parathyroid gland	gland parathyroid
C0871208	rating	rated
C1305918	entire rectus abdominis muscle	abdominis rectus
C1281327	entire artery of abdomen	abdominal artery
C1281327	entire artery of abdomen	abdominal arteries
C1280282	entire skeletal muscle of abdomen	abdomen muscle
C1280406	entire skin of eyelid	eyelids skin
C0034571	roentgenographic	x-ray image
C0028708	nutrition assessment	assessment nutritional
C0225917	entire left bundle branch	branch bundle left
C0719663	day time brand of apap/dextromethorphan/pseudoephedrine	day time
C1305636	entire hair of pubis	hair pubic
C1278942	entire superficial temporal artery	artery superficial temporal
C1280361	entire vocal cord	cord vocal
C1283891	entire vomeronasal organ	vomeronasal organ
C1305933	entire vitreous humor	vitreous humour
C1281785	entire omphalomesenteric vein	veins vitelline
C1321512	entire visual system	visual system
C1289171	entire vestibule of mouth	vestibule of mouth
C1269892	entire left ventricle	ventricle left
C1305961	entire heart valve	valve heart
C1280484	entire vaginal rugae	vaginal rugae
C1280153	entire uterine artery	arteries uterine
C0243095	findings	finds
C1283795	entire genital system	genital system
C0243074	chemical analysis	chemical analysis
C1318425	entire urethral meatus (body structure)	urethra meatus
C1318425	entire urethral meatus (body structure)	urethral orifice
C1278977	entire upper urinary tract	upper urinary tract
C0018681	headache	haed
C1288598	entire umbilical ring	umbilical ring
C1280083	entire umbilical region	umbilical region
C1279571	entire right knee	knee right
C1280389	entire lower lip	lip lower
C1277604	entire tuberculum sellae	tuberculum sellae
C0040833	trends	trending
C1280362	entire vocal fold	fold vocal
C0028678	nursing therapy	cares nursing
C1279402	entire tracheal muscle	tracheal muscle
C1150270	t-plasminogen activator activity	t-plasminogen activator
C0224701	entire knee meniscus	meniscus knee
C0205464	pharmacological	mechanism action
C1268979	entire parietal lobe	lobe parietal
C1279999	entire left foot	foot left
C1305733	entire endocrine gland	gland endocrine
C1305377	entire thyroarytenoid muscle	thyroarytenoid
C1279029	entire nail of thumb	thumbnail
C1267196	entire thoracolumbar fascia	thoracolumbar fascia
C1280979	entire thoracodorsal nerve	thoracodorsal nerve
C1279010	entire skin of hand	hands of skin
C1269890	entire right atrium	atrium right
C0015392	eye	eyeball structures
C0523912	testosterone measurement	testosterones
C1280142	entire testicular artery	testicular artery
C1283673	entire tendon and tendon sheath	sheaths tendon
C1278851	entire sciatic nerve	nerve sciatic
C1280318	entire tail of pancreas	tail of pancreas
C0223221	entire t2 vertebra	t2 vertebra
C0220922	systematic	systematics
C1280015	entire left ankle	left ankle
C1279998	entire right foot	foot right
C1280388	entire upper lip	lip upper
C0376243	financial	finances
C1283888	entire supratentorial brain	supratentorial brain
C1289557	entire supraoptic nucleus	supraoptic nucleus
C1269585	entire anterior semicircular canal	superior semicircular canal
C1281178	entire superior laryngeal nerve	superior laryngeal nerve
C1282712	entire superficial lymph node	lymph nodes superficial
C1150358	intramolecular transferase activity	mutase
C1280306	entire submental lymph node	submental lymph node
C1267759	entire subcostal nerve	subcostal nerve
C1267175	entire stylohyoid ligament	stylohyoid ligament
C1304961	entire stylohyoid muscle	stylohyoid
C0015392	eye	eye structures
C1278920	entire stomach	stomached
C0086418	homo sapiens	man woman
C1305901	entire stapedius muscle	stapedius
C1279088	entire coronoid process of ulna	coronoid process ulna
C1280953	entire splenic vein	splenic vein
C0277785	functional disorder	disorder functional
C1305052	entire piriformis muscle	piriformi
C0153479	malignant neoplasm of sphenoidal sinus	sphenoidal sinus
C1150005	epoxide hydrolase activity	epoxide hydrolase
C1269615	entire proximal end of humerus	of proximal end humerus
C1279010	entire skin of hand	skin hand
C1282646	entire skin fat	skin fat
C0018563	hand	handed
C1281583	entire hand	handed
C1280187	entire cavernous sinus	sinus cavernous
C1279144	entire hip joint	joint hip
C1281775	entire septum transversum	septum transversum
C0446623	entire sensory organ (body structure)	organs sensory
C1281400	entire skin of lower back	skin lower back
C1280230	entire second rib	second rib
C0223984	entire second metatarsal	second metatarsal
C1281593	entire back (surface region)	backing
C0260942	encounter due to screening for depression	screening for depression
C0947630	scientific study	scientific studies
C1279047	entire scalene lymph node	lymph nodes scalene
C1269542	entire sacrum	sacral bone
C0447420	entire transverse folds of palate (body structure)	ruga
C1304942	entire risorius muscle	risorius
C0205041	cardio-	coronaries
C0446959	entire lobe of right lung (body structure)	lobe lung right
C0446959	entire lobe of right lung (body structure)	right lobe of lung
C1288948	entire right hand	right handed
C1279998	entire right foot	right foot
C1267482	entire left renal vein	left renal vein
C1281128	entire rete testis	rete testis
C1267236	entire respiratory bronchiole	respiratory bronchiole
C1283923	entire respiratory airway	respiratory airway
C1283874	entire renal pyramid	renal pyramid
C1313981	encounter due to removal of sutures	removal of sutures
C1269079	entire lower limb	limb lower
C1269614	entire thorax	chest regions
C0521009	bacterial	bacterials
C1280246	entire angle of mandible	angle mandible
C1269073	entire knee joint	joint knee
C0034619	radiotherapeutic	radiation therapies
C1305054	entire quadratus femoris muscle	quadratus femoris
C1289279	entire pupil of both eyes	pupil eyes
C1283909	entire pulmonary alveolus	pulmonary alveoli
C1305038	entire puborectalis muscle	puborectalis
C0243156	psychosocial aspects	psychosocial aspects
C0033910	psychological aspects	psychologi
C0448190	entire proximal femur (body structure)	proximal femur
C1278980	entire prostate	prostated
C1152815	prolactin receptor activity	prolactin receptor
C1268978	entire temporal lobe	lobe temporal
C0521125	preposition for	prepositions
C1283837	entire carpus	carpu
C1288684	entire soft tissues of shoulder	soft tissue shoulder
C1280113	entire posterior auricular artery	posterior auricular artery
C1281009	entire postcentral gyrus	postcentral gyrus
C1278870	entire medial plantar nerve	plantar medial nerve
C1282793	entire pivot joint	joints pivot
C1267547	entire mouth region	mouths
C1278910	entire oral cavity	mouths
C0024752	workforce	manpower
C1280490	entire vaginal canal	canal vaginal
C1149842	phospholipase a2 activity	phospholipase a2
C0013217	pharmacotherapeutic	pharmacologic therapy
C0161685	toxic effect of petroleum product (disorder)	petroleum products
C0448636	entire peroneal longus plantaris muscle tendon (body structure)	peroneus longus tendon
C1282858	entire perivascular space	perivascular spaces
C1282858	entire perivascular space	perivascular space
C1280415	entire perirenal fat	perirenal fat
C1280901	entire pancreatic lymph node	pancreatic lymph node
C1149477	peptide hormone activity	peptide hormone
C1305194	entire ureteropelvic junction	pelviureteric junction
C1280284	entire skeletal muscle of pelvis	pelvis muscle
C1281366	entire joint of pelvis	pelvis joint
C1288430	entire pelvic diaphragm	pelvic diaphragm
C1280879	entire parasympathetic nerve	parasympathetic nerve
C1281249	entire parametrium	parametrium
C1304992	entire palmaris longus muscle	palmaris longus
C1268234	entire left hip region	hip left
C1279549	entire left thigh	left thigh
C0447210	entire maxillary teeth (body structure)	teeth upper
C1279572	entire left knee	knee left
C0013217	pharmacotherapeutic	therapy pharmacologic
C0220886	other location of complaint	others
C0243082	associated conditions	conditions associated
C1281797	entire ostium primum	ostium primum
C1304957	entire orbicularis oris	orbicularis oris
C1305225	entire ora serrata of retina	ora serrata
C1152658	opsin activity	opsin
C0038895	surgical aspects	operative procedures
C0015392	eye	oculars
C0012160	nutritional management	nutritional management
C0001688	adverse effects	undesirable effects
C1305392	entire common bile duct	bile common duct
C1305452	entire body of lumbar vertebra	lumbar vertebral body
C1151978	n-myristoyltransferase activity	n-myristoyltransferase
C0013622	educational	educations
C1269646	entire sympathetic nervous system	nervous system sympathetic
C1280656	entire neck of rib	neck rib
C1280322	entire neck of gallbladder	neck of gallbladder
C0447723	entire joint between cervical vertebral bodies (body structure)	neck joint
C0205467	mycological	mycological
C1267547	entire mouth region	mouthing
C1278910	entire oral cavity	mouthing
C0205464	pharmacological	action modes
C0205464	pharmacological	action mode
C1150177	mmp-1 activity	mmp-1
C1305163	entire anulus fibrosus of mitral orifice	mitral annulus
C1279494	entire pulmonic area	area pulmonary
C1281029	entire middle cerebellar peduncle	middle cerebellar peduncle
C1283846	entire pelvic floor	floor pelvic
C1278971	entire median cubital vein	median cubital vein
C1280401	entire medial patellar retinaculum	medial patellar retinaculum
C0205464	pharmacological	actions mechanism
C1150076	mannosidase activity	mannosidase
C1268018	entire mandibular lymph node	lymph mandibular nodes
C0447274	entire maxillary right lateral incisor tooth (body structure)	incisors lateral
C0012160	nutritional management	management dietary
C1281530	entire male genital organ	genital male organ
C1280741	entire male perineum	male perineum
C1151158	malate dehydrogenase activity	malate dehydrogenase
C1280861	entire lymphatics of kidney	lymphatics of kidney
C1281825	entire lumbosacral vertebrae	lumbosacral vertebrae
C1278838	entire lumbar spinal cord	lumbar spinal cord
C0448358	entire longissimus muscle (body structure)	longissimus
C1283913	entire locomotor system	locomotor system
C1280367	entire lobe of lung	lobes lungs
C0475211	l (qualifier value)	liters
C0261926	adverse reaction to lipotropic drugs	lipotropic drugs
C1269081	entire ligamentum nuchae	ligamentum nuchae
C1278910	entire oral cavity	cavity oral
C0220868	legal aspects	legal aspects
C1269883	entire left pulmonary artery	left pulmonary artery
C1281960	entire left parietal lobe	left parietal lobe
C0446960	entire lobe of left lung (body structure)	left lung lobe
C1279104	entire iliac crest	crests iliac
C1278871	entire lateral plantar nerve	lateral plantar nerve
C1278686	entire laryngeal pouch	laryngeal pouch
C1279512	entire lactating breast	breasts lactating
C1279512	entire lactating breast	lactating breast
C0243137	helminthology	helminthology
C1279146	entire ankle joint	ankles joints
C1279001	entire skin of back	back skin
C0220862	isolation aspects	isolations
C1281354	entire ischial bursa	ischial bursa
C1269012	entire middle cerebral artery	artery cerebral middle
C0161571	poisoning by intravenous anesthetic	intravenous anesthetics
C1280750	entire intestinal epithelium	intestinal epithelium
C1281347	entire intervertebral foramen	intervertebral foramen
C0447892	entire interosseous membrane of leg (body structure)	interosseous ligament
C1150184	insulinase activity	insulysin
C1306748	entire thymus	gland thymus
C1267072	entire vertebral column	column spinal
C1305626	entire inferior ramus of pubis	inferior pubic ramus
C1278860	entire inferior gluteal nerve	inferior gluteal nerve
C1280344	entire vas deferens	deferens vas
C0243126	incorporation	incorporation
C1305043	entire iliopsoas muscle	iliopsoa
C1282429	entire iliac lymph node (body structure)	iliac nodes
C1149197	il-2r activity	il-2r
