CUI	UMLS_NAME
C1305382	entire bartholin's gland
C1305383	entire broad ligament
C1305384	entire carotid artery
C1305386	entire external carotid artery
C1305387	entire internal carotid artery
C1305392	entire common bile duct
C1305393	entire posterior fossa of cranial cavity
C1305394	entire suture joint of skull
C1305402	entire sulcus terminalis cordis
C1305412	entire inferior wall of orbit
C1305413	entire anterior fossa of cranial cavity
C1305414	entire fossa of cranial cavity
C1305416	entire spinous process of vertebra (body structure)
C1305417	entire elbow region
C1305418	entire calf of leg (body structure)
C1305421	entire skin of palmar area of hand (body structure)
C1305422	entire skin of popliteal fossa
C1305431	entire lumbar disc (body structure)
C1305433	entire sinus venosus of sclera
C1305440	entire spinous process of lumbar vertebra
C1305449	entire transverse process of lumbar vertebra
C1305452	entire body of lumbar vertebra
C1305494	entire spinous process of seventh cervical vertebra (body structure)
C1305533	entire cervical disc (body structure)
C1305534	entire transverse process of vertebra (body structure)
C1305536	entire bone of extremity (body structure)
C1305577	entire transverse process of seventh cervical vertebra (body structure)
C1305578	entire transverse process of first lumbar vertebra (body structure)
C1305582	entire middle fossa of cranial cavity
C1305583	entire transverse process of fifth lumbar vertebra (body structure)
C1305593	entire body of third thoracic vertebra (body structure)
C1305596	entire body of sixth thoracic vertebra (body structure)
C1305604	entire body of fourth cervical vertebra (body structure)
C1305610	entire body of third lumbar vertebra (body structure)
C1305611	entire body of fourth lumbar vertebra (body structure)
C1305617	entire l5 vertebra
C1305618	entire pupil
C1305622	entire central vein of the retina
C1305624	entire descending aorta
C1305625	entire anal gland
C1305626	entire inferior ramus of pubis
C1305631	entire anterior tibial muscle tendon
C1305632	entire extensor hallucis longus muscle tendon
C1305633	entire posterior tibial muscle tendon
C1305635	entire skin of dorsal area of hand
C1305636	entire hair of pubis
C1305659	entire intermediate cuneiform
C1305705	entire incudostapedial articulation
C1305708	entire right branch of hepatic artery
C1305712	entire right main bronchus
C1305713	entire left main bronchus
C1305714	entire anterior chest wall
C1305719	entire innominate bone
C1305721	entire labium minus (body structure)
C1305726	entire fontanel of skull
C1305727	entire circumflex branch of left coronary artery
C1305729	entire skeletal muscle of gluteal region
C1305730	entire descemet's membrane
C1305731	entire chordae tendineae cordis
C1305732	entire external auditory canal opening
C1305733	entire endocrine gland
C1305734	entire facial nerve
C1305735	entire fascia lata
C1305743	entire erector spinae muscle
C1305744	entire fetal ossification center
C1305746	entire mucous membrane of nose
C1305751	entire reticular formation
C1305752	entire glossopharyngeal nerve
C1305753	entire hypoglossal nerve
C1305754	entire immune system
C1305756	entire cortex of kidney
C1305757	entire medulla of kidney
C1305759	entire mammillary body
C1305760	entire manubrium sterni
C1305761	entire masseter
C1305762	entire wisdom tooth
C1305766	entire outflow tract of left ventricle (body structure)
C1305767	entire oculomotor nerve
C1305770	entire parasympathetic nervous system
C1305772	entire bony pelvis
C1305773	entire symphysis pubis
C1305775	entire portal vein
C1305777	entire accessory nerve
C1305779	entire duodenal papilla
C1305794	entire right margin of heart
C1305796	entire lamina of vertebra
C1305798	entire ectocervix (body structure)
C1305799	entire piriform recess
C0699792	relationship by association
C1305801	entire atlas vertebra
C1305896	entire minor salivary gland
C1305897	entire lunate bone
C1305901	entire stapedius muscle
C1305903	entire sublingual gland
C1305905	entire tensor tympani muscle
C1305907	entire deciduous tooth
C1305908	entire trigeminal nerve
C1305909	entire truncus arteriosus of fetus
C1305910	entire vagus nerve
C1305911	entire vestibular nucleus
C1305912	entire abdominal viscera
C1305913	entire visual pathway
C1305914	entire yolk stalk
C1305915	entire xiphoid process of sternum
C1305917	entire common carotid artery
C0450442	agent (attribute)
C1305918	entire rectus abdominis muscle
C1305920	entire patellar ligament
C1305921	entire peripheral nervous system
C1305922	entire bowman's layer (body structure)
C1305933	entire vitreous humor
C1305961	entire heart valve
C1306477	entire capitate bone
C1306478	entire trapezial bone
C1306479	entire trapezoid bone
C1306480	entire navicular
C1306481	entire lateral cuneiform
C1306482	entire medial cuneiform
C1306500	entire anal crypt
C1306518	entire articular capsule (body structure)
C1306528	entire scaphoid
C1306664	entire urethral gland
C1306665	entire brainstem
C1306748	entire thymus
C1306795	entire surface region of wrist (body structure)
C1306816	entire fundus uteri
C1306819	entire prepuce
C0439096	beta greek letter
C1318149	entire alveolar ridge
C1140091	ai/rheum
C0470210	5
C1318419	entire human body (body structure)
C1318425	entire urethral meatus (body structure)
C1321499	entire prostatic gland
C1321504	entire pisiform bone of hand (body structure)
C1321506	entire anterior descending branch of left coronary artery
C1321508	entire axial skeleton
C1321509	entire axis vertebra
C1321510	entire basal nuclei
C0222045	integumentary scale
C1321512	entire visual system
C1321513	entire vestibule
C1321524	entire carpometacarpal joint (body structure)
C1321525	entire cisterna ambiens
C1321528	entire flexor hallucis longus muscle tendon
C1321530	entire internal anal sphincter muscle
C1321532	entire midcarpal joint
C1321533	entire palpebral conjunctiva
C1321534	entire posterior wall of urinary bladder
C1321538	entire trigone of bladder
C1321539	entire vastus lateralis muscle
C1321540	entire vastus medialis muscle
C1321549	entire dome of urinary bladder (body structure)
C0677042	pathology processes
C0439111	upper case aitch
C0439134	lower case aitch
C0439123	upper case why
C0439147	lower case why
C0442022	lumbar (qualifier value)
C0678227	causing (attribute)
C0439840	reflex motion descriptor
C1318215	3
C0175673	bale out
C0374711	repair - action
C0205450	four (qualifier value)
C0699910	study of epidemiology
C0205054	hepatic
C0439129	lower case dee
C0439107	upper case dee
C0521346	respiratory
C0884854	physical devices
C0677510	roman numeral IV
C0401156	vomiting nos (disorder)
C0470215	10
C0439145	lower case vee
C0439120	upper case vee
C0205394	other
C0439137	lower case kay
C0439112	upper case kay
C0439139	lower case oh
C0439114	upper case oh
C0439146	lower case double-you
C0439121	upper case double-you
C0205448	two (qualifier value)
C0470216	12
C0439109	upper case eff
C0439132	lower case eff
